symbol,date,prev_close,close,ttl_traded_qty,deliv_qty,deliv_pct,turnover_lacs,no_of_trades
LT,2026-07-13,3945.8,3928.5,1744547,933803,53.53,68403.45,99579
TIINDIA,2026-07-13,2958.4,2921.1,99892,53420,53.48,2919.27,15132
ITCHOTELS,2026-07-13,187.19,186.5,2092352,1116635,53.37,3896.89,22346
THERMAX,2026-07-13,4809.0,4663.5,139444,74285,53.27,6546.18,20576
VBL,2026-07-13,478.1,469.1,7281774,3877833,53.25,34232.27,109856
RBLBANK,2026-07-13,380.65,380.6,4539241,2408854,53.07,17249.13,30079
NAUKRI,2026-07-13,1204.05,1191.05,1659497,878976,52.97,19814.27,79014
VEDL,2026-07-13,272.55,269.65,9688301,5130378,52.95,26120.74,110659
RECLTD,2026-07-13,351.95,351.05,3848578,2037453,52.94,13464.91,37162
HEROMOTOCO,2026-07-13,4949.1,4952.1,508201,268937,52.92,25036.09,56317
ESCORTS,2026-07-13,2941.8,2969.7,96473,50965,52.83,2868.66,11752
NLCINDIA,2026-07-13,314.9,304.65,2995484,1582180,52.82,9171.37,39442
SUNPHARMA,2026-07-13,1935.5,1921.4,1573176,829706,52.74,30232.66,73912
IOC,2026-07-13,138.96,139.95,11620086,6125787,52.72,16101.05,94813
TMCV,2026-07-13,422.5,420.75,5898259,3107077,52.68,24761.76,101972
OBEROIRLTY,2026-07-13,1924.8,1925.2,463195,243776,52.63,8849.8,27494
LAURUSLABS,2026-07-13,1537.8,1558.6,1938466,1018911,52.56,30024.21,53642
SHREECEM,2026-07-13,26615.0,26420.0,6450,3386,52.5,1705.77,3051
GODREJPROP,2026-07-13,2133.0,2162.6,1443535,755951,52.37,30966.95,74499
PRESTIGE,2026-07-13,1733.2,1724.3,802548,418400,52.13,13759.12,36003
INFY,2026-07-13,1068.0,1102.6,20994760,10937818,52.1,230019.58,338475
DMART,2026-07-13,4081.1,3994.1,2286738,1190115,52.04,91094.27,168353
DEEPAKNTR,2026-07-13,1644.0,1667.2,151399,78563,51.89,2511.04,14924
TATAPOWER,2026-07-13,381.3,377.85,3204238,1659609,51.79,12104.17,64185
JSWSTEEL,2026-07-13,1245.4,1237.4,1403822,726357,51.74,17312.23,61265
ABB,2026-07-13,6836.0,6807.0,297882,153848,51.65,20282.91,28184
TATACOMM,2026-07-13,1856.2,1835.4,324577,167183,51.51,6029.26,22411
AIAENG,2026-07-13,4683.5,4732.0,113543,58486,51.51,5347.01,19916
RADICO,2026-07-13,4073.7,4045.4,150502,77462,51.47,6104.53,24904
MUTHOOTFIN,2026-07-13,3129.4,3058.5,1101513,566210,51.4,33849.46,77649
ASTRAZEN,2026-07-13,8117.5,8291.0,12191,6265,51.39,1001.95,3660
MOTHERSON,2026-07-13,143.19,144.06,14294629,7342311,51.36,20423.4,61496
BPCL,2026-07-13,309.75,307.55,5543349,2846430,51.35,16973.29,75706
ADANIPORTS,2026-07-13,1828.1,1810.3,1156618,592249,51.21,20978.82,59646
DRREDDY,2026-07-13,1244.3,1234.5,2437935,1243646,51.01,30084.61,68741
SRF,2026-07-13,2774.6,2741.6,122987,62673,50.96,3381.42,11694
WELCORP,2026-07-13,1612.6,1619.9,700903,355999,50.79,11373.33,38081
SAILIFE,2026-07-13,1265.0,1272.1,548445,278336,50.75,6975.38,36903
SWIGGY,2026-07-13,273.25,266.77,17568805,8874484,50.51,47167.05,194563
AADHARHFC,2026-07-13,534.55,535.9,464023,233852,50.4,2495.65,16275
ASAHIINDIA,2026-07-13,914.9,924.0,138795,69581,50.13,1282.34,9260
SBILIFE,2026-07-13,1862.9,1855.9,455392,226577,49.75,8432.95,25973
IPCALAB,2026-07-13,1787.9,1823.3,341668,169749,49.68,6221.96,26586
CGPOWER,2026-07-13,916.6,905.5,2819640,1398394,49.59,25508.59,99789
NTPCGREEN,2026-07-13,94.1,94.55,2582187,1279200,49.54,2439.93,21714
GILLETTE,2026-07-13,7845.0,7880.5,20753,10265,49.46,1632.65,5241
DALBHARAT,2026-07-13,1786.5,1757.1,75208,36937,49.11,1325.84,7254
POWERINDIA,2026-07-13,32605.0,31915.0,101702,49921,49.09,32529.15,31487
RAMCOCEM,2026-07-13,942.1,938.2,73808,36204,49.05,692.81,6496
ETERNAL,2026-07-13,289.65,285.2,14808761,7243007,48.91,42406.55,117986
BALKRISIND,2026-07-13,2252.9,2216.1,159719,77616,48.6,3552.08,17902
GVT&D,2026-07-13,4677.1,4525.6,747648,363040,48.56,33879.12,67317
IOB,2026-07-13,34.58,34.15,4600184,2226263,48.4,1580.19,14352
PAGEIND,2026-07-13,39395.0,39955.0,36709,17723,48.28,14666.39,15016
TATAINVEST,2026-07-13,693.75,686.5,216254,104390,48.27,1484.95,11596
PIIND,2026-07-13,2607.4,2569.0,133250,64096,48.1,3432.72,11787
COLPAL,2026-07-13,2052.4,2025.0,141476,67895,47.99,2869.84,13864
TVSMOTOR,2026-07-13,3623.1,3676.9,497827,238790,47.97,18210.3,40749
ABBOTINDIA,2026-07-13,27165.0,27395.0,10100,4845,47.97,2763.6,4682
