symbol,yf_ticker,reason,bars,updated_at
SAHASRA,SAHASRA.NS,exception_no_yahoo_data,0,2026-07-26T19:51:14
SAJHOTELS,SAJHOTELS.NS,exception_no_yahoo_data,0,2026-07-26T20:09:02
SAMAY,SAMAY.NS,exception_no_yahoo_data,0,2026-07-26T20:08:39
SATECH,SATECH.NS,exception_no_yahoo_data,0,2026-07-26T20:10:36
SATKARTAR,SATKARTAR.NS,exception_no_yahoo_data,0,2026-07-26T19:59:43
SATTVAENGG,SATTVAENGG.NS,exception_no_yahoo_data,0,2026-07-26T20:03:25
SAVY,SAVY.NS,exception_no_yahoo_data,0,2026-07-26T19:58:05
SAWALIYA,SAWALIYA.NS,exception_no_yahoo_data,0,2026-07-26T19:57:10
SDREAMS,SDREAMS.NS,exception_no_yahoo_data,0,2026-07-26T20:01:59
SEITINVIT,SEITINVIT.NS,exception_no_yahoo_data,0,2026-07-26T19:44:46
SELLOWRAP,SELLOWRAP.NS,exception_no_yahoo_data,0,2026-07-26T20:06:37
SFML,SFML.NS,exception_no_yahoo_data,0,2026-07-26T20:09:11
SHEEL,SHEEL.NS,exception_no_yahoo_data,0,2026-07-26T20:03:15
SHETHJI,SHETHJI.NS,exception_no_yahoo_data,0,2026-07-26T19:55:58
SHIVASHRIT,SHIVASHRIT.NS,exception_no_yahoo_data,0,2026-07-26T19:59:27
SHKSIL,SHKSIL.NS,exception_no_yahoo_data,0,2026-07-26T20:07:24
SHREEDHAR,SHREEDHAR.NS,exception_no_yahoo_data,0,2026-07-26T20:00:39
SHRIAHIMSA,SHRIAHIMSA.NS,exception_no_yahoo_data,0,2026-07-26T19:50:25
SHRIKANHA,SHRIKANHA.NS,exception_no_yahoo_data,0,2026-07-26T20:11:09
SHUBHSHREE,SHUBHSHREE.NS,exception_no_yahoo_data,0,2026-07-26T20:01:07
SHYAMDHANI,SHYAMDHANI.NS,exception_no_yahoo_data,0,2026-07-26T20:04:26
SIDDHICOTS,SIDDHICOTS.NS,exception_no_yahoo_data,0,2026-07-26T20:08:14
SILKY,SILKY.NS,exception_no_yahoo_data,0,2026-07-26T20:10:28
SIMCA,SIMCA.NS,exception_no_yahoo_data,0,2026-07-26T19:58:38
SMARTEN,SMARTEN.NS,exception_no_yahoo_data,0,2026-07-26T20:05:04
SNEHAA,SNEHAA.NS,exception_no_yahoo_data,0,2026-07-26T20:10:01
SOCL,SOCL.NS,exception_no_yahoo_data,0,2026-07-26T20:11:01
SPCON,SPCON.NS,exception_no_yahoo_data,0,2026-07-26T20:05:43
SPEB,SPEB.NS,exception_no_yahoo_data,0,2026-07-26T20:00:33
SPPPOLY,SPPPOLY.NS,exception_no_yahoo_data,0,2026-07-26T20:12:30
SPUNWEB,SPUNWEB.NS,exception_no_yahoo_data,0,2026-07-26T19:58:34
SSEGL,SSEGL.NS,exception_no_yahoo_data,0,2026-07-26T19:51:46
SSFLPP.E1,SSFLPP.E1.NS,exception_no_yahoo_data,0,2026-07-26T19:46:40
STRIDERS,STRIDERS.NS,exception_no_yahoo_data,0,2026-07-26T20:14:03
STUDIOLSD,STUDIOLSD.NS,exception_no_yahoo_data,0,2026-07-26T20:09:40
SUBAHOTELS,SUBAHOTELS.NS,exception_no_yahoo_data,0,2026-07-26T19:58:10
SUNLITE,SUNLITE.NS,exception_no_yahoo_data,0,2026-07-26T19:54:10
SUNTECH,SUNTECH.NS,exception_no_yahoo_data,0,2026-07-26T20:08:56
TANKUP,TANKUP.NS,exception_no_yahoo_data,0,2026-07-26T19:53:00
TAURIAN,TAURIAN.NS,exception_no_yahoo_data,0,2026-07-26T19:56:08
TEAMTECH,TEAMTECH.NS,exception_no_yahoo_data,0,2026-07-26T19:55:06
TECHD,TECHD.NS,exception_no_yahoo_data,0,2026-07-26T19:54:20
TECHERA,TECHERA.NS,exception_no_yahoo_data,0,2026-07-26T19:58:17
TEJA,TEJA.NS,exception_no_yahoo_data,0,2026-07-26T19:54:28
TEJASCARGO,TEJASCARGO.NS,exception_no_yahoo_data,0,2026-07-26T19:50:47
THESL,THESL.NS,exception_no_yahoo_data,0,2026-07-26T20:12:14
TROM,TROM.NS,exception_no_yahoo_data,0,2026-07-26T20:09:34
TSC,TSC.NS,exception_no_yahoo_data,0,2026-07-26T20:10:23
UHTL,UHTL.NS,exception_no_yahoo_data,0,2026-07-26T20:00:36
UMIYA_MRO,UMIYA_MRO.NS,exception_no_yahoo_data,0,2026-07-26T20:01:35
UNILEX,UNILEX.NS,exception_no_yahoo_data,0,2026-07-26T20:11:15
USHAFIN,USHAFIN.NS,exception_no_yahoo_data,0,2026-07-26T20:02:32
UTKAL,UTKAL.NS,exception_no_yahoo_data,0,2026-07-26T20:07:41
UTSSAV,UTSSAV.NS,exception_no_yahoo_data,0,2026-07-26T19:49:07
VALUE360,VALUE360.NS,exception_no_yahoo_data,0,2026-07-26T20:03:49
VDEAL,VDEAL.NS,exception_no_yahoo_data,0,2026-07-26T20:07:38
VERTIS,VERTIS.NS,exception_no_yahoo_data,0,2026-07-26T19:41:01
VGINFOTECH,VGINFOTECH.NS,exception_no_yahoo_data,0,2026-07-26T19:55:19
VICTORYEV,VICTORYEV.NS,exception_no_yahoo_data,0,2026-07-26T20:10:44
VIESL,VIESL.NS,exception_no_yahoo_data,0,2026-07-26T19:51:17
VIGOR,VIGOR.NS,exception_no_yahoo_data,0,2026-07-26T20:05:30
VIJAYPD,VIJAYPD.NS,exception_no_yahoo_data,0,2026-07-26T20:04:04
VIVIDEL,VIVIDEL.NS,exception_no_yahoo_data,0,2026-07-26T19:49:26
VLINFRA,VLINFRA.NS,exception_no_yahoo_data,0,2026-07-26T20:10:30
VMOBILE,VMOBILE.NS,exception_no_yahoo_data,0,2026-07-26T20:10:49
VOLERCAR,VOLERCAR.NS,exception_no_yahoo_data,0,2026-07-26T19:58:08
WHITEFORCE,WHITEFORCE.NS,exception_no_yahoo_data,0,2026-07-26T20:09:57
WOL3D,WOL3D.NS,exception_no_yahoo_data,0,2026-07-26T20:07:03
YAAP,YAAP.NS,exception_no_yahoo_data,0,2026-07-26T19:56:23
