symbol,sector,industry,nifty_sector_index,sector_match_basis,perf_1w,perf_1m,nifty_1w,nifty_1m,sector_1m,rs_vs_nifty_1w,rs_vs_nifty_1m,rs_vs_sector_1m
DCMSHRIRAM,Producer Manufacturing,Industrial Conglomerates,NIFTY_INFRA,sector,1.4052449282533443,-0.7458349476946963,-0.97,1.32,-0.98,2.38,-2.07,0.23
SHAILY,Process Industries,Chemicals: Specialty,,unmapped,0.8995502248875562,23.941068139963168,-0.97,1.32,,1.87,22.62,
HONASA,Retail Trade,Specialty Stores,NIFTY_FMCG,sector,7.481829841812741,5.986509274873533,-0.97,1.32,-1.63,8.45,4.67,7.62
ABREL,Process Industries,Textiles,,unmapped,0.2071428571428636,-1.3986505482147782,-0.97,1.32,,1.18,-2.72,
NIVABUPA,Finance,Life/Health Insurance,NIFTY_FIN_SERVICE,industry,-4.700460829493085,-4.590542099192622,-0.97,1.32,1.89,-3.73,-5.91,-6.48
CIEINDIA,Producer Manufacturing,Auto Parts: OEM,NIFTY_AUTO,industry,-0.8028220411142224,-11.339421613394212,-0.97,1.32,1.4,0.17,-12.66,-12.74
BIKAJI,Consumer Non-Durables,Food: Specialty/Candy,NIFTY_FMCG,industry,-0.9208400646203628,-4.171875000000007,-0.97,1.32,-1.63,0.05,-5.49,-2.54
KIRLOSBROS,Producer Manufacturing,Industrial Machinery,NIFTY_INFRA,industry,-2.6813074565883555,-3.180732686347234,-0.97,1.32,-0.98,-1.71,-4.5,-2.2
VIJAYA,Health Services,Medical/Nursing Services,NIFTY_PHARMA,industry,6.4562721167039685,6.664254703328503,-0.97,1.32,3.01,7.43,5.34,3.65
PARADEEP,Process Industries,Chemicals: Agricultural,,unmapped,-0.1890231553365295,4.119718309859151,-0.97,1.32,,0.78,2.8,
