symbol,swing_high_20d,swing_low_20d,swing_low_50d,base_high,base_low,base_length_days,breakout_20d_high,volume_20d_avg,volume_ratio_vs_20d,consolidation_atr_pct,pct_from_base_high,bars_available
LUXIND,1247.9,1030.0,1030.0,,,,False,50032.75,0.575,4.377,,2675
LXCHEM,186.0,162.0,162.0,,,,False,1044164.15,0.429,3.351,,1363
LYKALABS,86.7,72.12,58.0,,,,False,18790.35,0.077,8.917,,7714
M&M,3420.0,3022.3999,3022.3999,,,,False,1804642.3,0.34,7.862,,7715
M&MFIN,388.6,341.0,317.6,,,,False,1672189.85,0.106,5.306,,5067
MAANALU,127.95,100.2,100.2,,,,False,64534.65,0.241,6.12,,5246
MACPOWER,2175.0,1732.2,1270.0,,,,False,61437.75,0.314,3.186,,2103
MADHAV,37.79,33.7,32.1,37.79,33.7,20.0,False,4129.0,0.257,2.454,-8.812,4624
MADHAVBAUG,184.8,147.0,147.0,,,,False,7780.0,5.193,9.892,,1120
MADHAVIPL,8.47,7.21,6.95,,,,False,150309.5,0.067,3.128,,109
MADHUCON,5.33,3.69,3.69,,,,False,31184.0,0.224,5.315,,4926
MADHUSUDAN,249.65,209.35,209.35,,,,False,20200.0,0.495,4.437,,736
MADRASFERT,72.1,59.57,59.57,,,,False,58027.2,0.257,7.392,,6016
MAFATIND,126.61,119.1,119.02,126.61,119.1,20.0,False,27387.6,0.225,2.416,-4.952,109
MAGADSUGAR,609.45,487.2,476.4,,,,False,35478.4,0.253,5.685,,2264
MAGNUM,20.24,18.4,18.12,20.24,18.4,20.0,False,30411.55,0.022,2.081,-6.126,4689
MAGSON,213.9,171.95,171.95,,,,False,12700.0,0.157,11.102,,793
MAHABANK,87.5,79.2,77.2,,,,False,14658605.2,0.364,3.809,,5555
MAHAPEXLTD,60.25,50.76,42.0,60.25,50.76,20.0,False,14994.85,0.076,2.548,-11.618,2094
MAHASTEEL,1421.0,1065.3,718.25,,,,False,11230.1,0.147,4.414,,2528
MAHEPC,108.14,97.1,97.1,,,,False,18358.15,0.25,3.847,,1638
MAHESHWARI,74.96,68.28,68.28,74.96,68.28,20.0,False,8685.6,0.181,2.796,-3.949,2356
MAHICKRA,314.5,256.0,235.0,,,,True,9487.5,0.0,6.71,,2065
MAHLIFE,376.45,339.0,339.0,,,,False,79836.2,0.315,3.201,,6019
MAHLOG,412.75,380.0,380.0,,,,False,95848.35,0.347,3.399,,2195
MAHSCOOTER,13974.0,12750.0,12278.0,,,,False,4044.8,0.113,3.859,,6017
MAHSEAMLES,738.6,634.95,557.2,,,,False,439929.4,0.074,3.826,,6022
MAITHANALL,1195.0,964.55,955.35,,,,False,159853.1,0.405,5.131,,3756
MAITREYA,130.5,103.1,103.1,,,,False,3460.0,2.659,4.188,,711
MAJESAUT,379.8,345.1,341.2,379.8,345.1,20.0,False,2724.05,0.105,2.811,-2.844,109
MAKERSL,222.99,171.36,150.0,,,,False,4352.7,0.095,4.055,,26
MAKS,17.4,12.65,12.65,,,,False,4575.0,0.0,8.012,,984
MAL,51.1,29.5,29.05,,,,False,42240.0,0.758,8.251,,731
MALLCOM,1050.0,905.15,905.15,,,,False,4797.35,0.083,4.459,,1148
MALUPAPER,35.95,30.3,28.2,,,,False,29794.0,0.032,3.248,,5052
MAMATA,439.95,388.0,375.1,,,,False,49872.95,0.191,3.527,,435
MANAKALUCO,41.8,34.0,34.0,,,,False,73199.65,0.086,4.895,,2841
