symbol,fut_volume,opt_volume,tot_volume,fut_turnover,opt_turnover,tot_turnover,latest_oi,underlying_value
KEI,1688,17701,19389,14056.4330725,15462770944.25,16629.617515,47754,4774.0
AUROPHARMA,1539,12012,13551,14261.44698,11352773949.0,16388.99647,35851,1675.9
BHARTIARTL,1578,27083,28661,13830.50261,24324664105.75,16020.8186675,211155,1832.2
ETERNAL,1743,10021,11764,13696.3192475,8121149405.75,15082.512055,105003,322.65
MCX,1486,16964,18450,11136.306015,13050317936.25,13918.9103775,77647,3297.5
JIOFIN,2187,11343,13530,12056.80519,6542658782.0,13059.37676,174785,234.1
KALYANKJIL,1260,12617,13877,10160.9478,10586659270.5,13002.088005,59550,598.85
BDL,2059,14201,16260,10892.2035775,7925196229.5,12450.4258725,51720,1255.0
EICHERMOT,1463,9907,11370,11274.88188,7816599513.0,12167.17701,72011,7677.0
BLUESTARCO,2327,12423,14750,10998.11882,5997464671.25,12086.4055325,28121,1469.7
NATIONALUM,1370,16111,17481,9671.1864375,11857858593.75,12079.459875,46328,375.4
ASHOKLEY,1295,7041,8336,10962.7165,6179231750.0,11909.909,57763,169.45
SHRIRAMFIN,1210,10315,11525,10272.17136,9133399572.0,11829.00708,64010,1025.0
PAYTM,832,8112,8944,9957.233955,10089478834.25,11803.6822975,56502,1641.9
NAUKRI,1417,12420,13837,10032.568315,9017913195.5,11637.50027,32381,1286.4
COALINDIA,1703,26577,28280,9706.436685,15399848830.5,11628.57249,126970,419.0
AXISBANK,1192,24359,25551,9392.2676875,19546760462.5,11307.6223125,199272,1252.3
BIOCON,983,8558,9541,9777.70475,8754208025.0,11220.16,37674,397.0
CGPOWER,1223,12718,13941,9406.83627,10183712266.0,11022.49893,37249,908.25
COFORGE,976,8748,9724,9038.99369,8322335554.25,10710.9292325,50855,1944.2
MARUTI,1260,33773,35033,8003.44385,22211559748.5,10156.291335,158565,12622.0
KOTAKBANK,1120,7296,8416,9487.475,6276809920.0,10153.1742,156142,421.85
TATASTEEL,1630,20007,21637,8377.0665,10609760205.0,10051.80605,170895,185.31
MIDCPNIFTY,283,35900,36183,4985.306076,63930769650.0,10004.472576,100562,14633.75
DLF,1407,8494,9901,8967.499635,5563300225.0,9775.431885,67824,670.0
SBICARD,1669,7963,9632,8965.54632,4370889632.0,9657.64264,48510,667.85
ADANIENT,826,12048,12874,7536.1559169,11269759304.64,9559.064463300001,103870,2946.7
LT,1242,11836,13078,8655.7214625,8437949143.75,9544.7254,133614,3966.7
TMPV,1671,18346,20017,8167.05088,9340866768.0,9425.95856,116729,305.0
BHEL,699,6675,7374,7793.920575,7698667777.5,9385.61085,51384,424.9
PERSISTENT,1135,10388,11523,7834.01295,7457680201.25,9153.5649625,50255,5551.0
ULTRACEMCO,1497,6332,7829,8363.4046,3641381510.0,8691.7497,63437,11103.0
VOLTAS,1804,13398,15202,7817.1127875,6012567225.0,8649.8100375,58108,1148.2
BAJAJ-AUTO,844,10360,11204,7468.870635,9353900533.5,8511.72597,56208,11754.0
ADANIPOWER,1011,6337,7348,7408.133255,4841289460.5,8205.94286,90181,206.38
MANAPPURAM,738,4637,5375,7262.202,4734962610.0,8135.0781,38518,326.85
WIPRO,1426,10212,11638,7317.4005,5422424880.0,8018.7993,114749,171.69
CDSL,997,10542,11539,6681.9916775,7327273938.25,7819.14106,54017,1402.4
TVSMOTOR,998,5932,6930,7212.328935,4436849418.75,7739.3856225,72234,4094.1
HEROMOTOCO,837,9160,9997,6679.61541,7514800762.5,7683.973035,59640,5310.0
BHARATFORG,696,4778,5474,6810.0687,4815389030.0,7527.259,30541,1966.0
MUTHOOTFIN,823,5490,6313,6559.8897375,4552188795.0,7268.1901875,57269,2872.2
HCLTECH,1200,11277,12477,6165.44988,5954601632.0,7235.9862,94170,1284.8
ICICIPRULI,1483,8419,9902,6523.394705,3819008899.75,7067.0937025,30292,471.3
APOLLOHOSP,526,9934,10460,5792.143,11178754326.25,6949.9362625,38226,8755.0
HINDUNILVR,1047,11492,12539,6212.62725,6983280357.0,6908.87082,118430,1975.0
LICI,1095,5318,6413,6371.63408,3170776224.0,6863.80632,60069,413.95
HAVELLS,1159,4389,5548,6536.0119,2592002410.0,6862.336,36136,1140.7
AMBER,818,6197,7015,6001.55815,4726487646.0,6826.63461,27087,7317.5
DIXON,775,12419,13194,5452.64167,9073693109.0,6734.82276,126704,14155.0
BAJFINANCE,772,5086,5858,6130.48185,4135823617.5,6655.718025,135293,1055.8
CUMMINSIND,620,2885,3505,6223.7294,2984840010.0,6617.1295,44224,4993.0
ABCAPITAL,446,2645,3091,5525.49425,3348328321.0,6019.97246,20538,396.35
MAZDOCK,879,9769,10648,4879.57437,5659862964.75,6015.1415175,45471,2466.5
JSWSTEEL,606,4951,5557,5362.9413525,4494555897.75,5911.45533,80473,1309.1
ITC,1163,14428,15591,5311.80423,6793486563.0,5908.232985,202057,264.15
AUBANK,496,4066,4562,5277.9625,4475406320.0,5849.8257,36219,1060.3
TRENT,751,12044,12795,4718.294055,7907108505.75,5797.7416125,73892,2791.4
COCHINSHIP,780,6863,7643,4759.24144,4318219492.0,5753.11636,27810,1517.1
GLENMARK,588,2024,2612,5435.958825,1905612802.5,5742.53685,38229,2466.3
