symbol,sector,nifty_sector_index,perf_1w,perf_1m,nifty_1w,nifty_1m,sector_1m,rs_vs_nifty_1w,rs_vs_nifty_1m,rs_vs_sector_1m
SWIGGY,Transportation,NIFTY_AUTO,4.293893129770993,5.298651252408478,0.68,0.57,3.58,3.61,4.73,1.72
BIOCON,Health Technology,NIFTY_PHARMA,9.604802401200594,4.832535885167461,0.68,0.57,7.74,8.92,4.26,-2.91
JSWINFRA,Industrial Services,NIFTY_ENERGY,7.069102462271644,13.85135135135135,0.68,0.57,2.07,6.39,13.28,11.78
OBEROIRLTY,Finance,NIFTY_FIN_SERVICE,1.0695187165775402,12.366230677764566,0.68,0.57,6.04,0.39,11.8,6.33
SAIL,Non-Energy Minerals,NIFTY_METAL,1.8584615384615448,-9.30410958904109,0.68,0.57,-1.16,1.18,-9.87,-8.14
IDFCFIRSTB,Finance,NIFTY_FIN_SERVICE,1.9107463452167155,1.1197353352843815,0.68,0.57,6.04,1.23,0.55,-4.92
COFORGE,Technology Services,NIFTY_IT,6.068965517241379,8.317487146982176,0.68,0.57,0.94,5.39,7.75,7.38
PIRAMALFIN,Finance,NIFTY_FIN_SERVICE,2.9624413145539865,9.13660114456332,0.68,0.57,6.04,2.28,8.57,3.1
NATIONALUM,Non-Energy Minerals,NIFTY_METAL,3.698943159097397,-1.8783783783783756,0.68,0.57,-1.16,3.02,-2.45,-0.72
ALKEM,Health Technology,NIFTY_PHARMA,0.5502307419240327,5.88785046728972,0.68,0.57,7.74,-0.13,5.32,-1.85
UNOMINDA,Producer Manufacturing,NIFTY_AUTO,1.766256590509658,2.368956068240074,0.68,0.57,3.58,1.09,1.8,-1.21
GLENMARK,Health Technology,NIFTY_PHARMA,3.631222227209484,6.642032332563518,0.68,0.57,7.74,2.95,6.07,-1.1
IOB,Finance,NIFTY_FIN_SERVICE,0.925373134328365,-0.5588235294117581,0.68,0.57,6.04,0.25,-1.13,-6.6
SCHAEFFLER,Producer Manufacturing,NIFTY_AUTO,0.0704499076863411,2.0892193308550238,0.68,0.57,3.58,-0.61,1.52,-1.49
